,date,article,neg,neu,pos,compound
0,2012-01-31,abu_sayyaf,0.08947010309278355,0.8794762886597935,0.031047422680412377,-0.11197422680412379
1,2012-02-29,abu_sayyaf,0.15832482124616967,0.8264637385086817,0.015210418794688462,-0.3192601634320729
2,2012-03-31,abu_sayyaf,0.0974347826086956,0.8739792060491477,0.0285897920604915,-0.1438351606805294
3,2012-04-30,abu_sayyaf,0.14187859424920146,0.8172971246006393,0.040833865814696495,-0.21737603833865776
4,2012-05-31,abu_sayyaf,0.06028437500000002,0.8941250000000007,0.04560624999999999,-0.046394999999999985
5,2012-06-30,abu_sayyaf,0.06000695410292077,0.9105744089012529,0.02939916550764951,-0.07214047287899873
6,2012-07-31,abu_sayyaf,0.12512876884422125,0.8607631909547746,0.01410615577889446,-0.23790144472361685
7,2012-08-31,abu_sayyaf,0.12505345911949692,0.8479591194968552,0.026993710691823897,-0.23610345911949676
8,2012-09-30,abu_sayyaf,0.10565100671140946,0.8645208053691281,0.029836241610738258,-0.1565558389261741
9,2012-10-31,abu_sayyaf,0.14106589785831977,0.8074085667215809,0.051537067545304675,-0.2266314662273482
10,2012-11-30,abu_sayyaf,0.08563843648208468,0.8719022801302931,0.04250814332247557,-0.07411433224755704
11,2012-12-31,abu_sayyaf,0.05485826771653543,0.9026968503937007,0.042444881889763766,-0.02938346456692912
12,2013-01-31,abu_sayyaf,0.09213666666666659,0.8459099999999986,0.06194666666666669,-0.03652200000000005
13,2013-02-28,abu_sayyaf,0.06765738999623931,0.8772072207596852,0.05514027830011277,-0.02208130876269245
14,2013-03-31,abu_sayyaf,0.022702400000000008,0.9456803999999994,0.031619600000000005,0.01649496000000001
15,2013-04-30,abu_sayyaf,0.1927390510948904,0.7734872262773721,0.03377189781021899,-0.3308928832116788
16,2013-05-31,abu_sayyaf,0.12926971326164902,0.8523440860215066,0.018383512544802874,-0.2772208781362012
17,2013-06-30,abu_sayyaf,0.09915947467166986,0.8628780487804882,0.03796622889305816,-0.13400168855534714
18,2013-07-31,abu_sayyaf,0.10494769230769226,0.8450061538461532,0.05003384615384614,-0.0990381538461537
19,2013-08-31,abu_sayyaf,0.04977652370203161,0.8938374717832958,0.05639051918735888,-0.0013223476297968316
20,2013-09-30,abu_sayyaf,0.07677017114914428,0.8601149144254276,0.06311735941320284,-0.018762591687041613
21,2013-10-31,abu_sayyaf,0.08346616541353381,0.8798684210526321,0.03666541353383459,-0.09196203007518797
22,2013-11-30,abu_sayyaf,0.10491945288753807,0.8613039513677822,0.03377507598784195,-0.14600212765957435
23,2013-12-31,abu_sayyaf,0.06944719101123607,0.8865617977528125,0.043989887640449435,-0.040459213483146066
24,2014-01-31,abu_sayyaf,0.07970085470085471,0.8645598290598291,0.05575213675213674,-0.03838376068376066
25,2014-02-28,abu_sayyaf,0.11461210762331847,0.8555523168908824,0.02983482810164426,-0.17151412556053675
26,2014-03-31,abu_sayyaf,0.07390459965928449,0.894315161839863,0.031778534923339014,-0.08206132879045985
27,2014-04-30,abu_sayyaf,0.09652920478536196,0.8919845179451088,0.011489092188599571,-0.18238722730471493
28,2014-05-31,abu_sayyaf,0.09663527851458886,0.8615994694960205,0.0417665782493369,-0.11940185676392562
29,2014-06-30,abu_sayyaf,0.07518402154398562,0.908323608617596,0.016501795332136453,-0.13727926391382375
30,2014-07-31,abu_sayyaf,0.13777025963807932,0.8214645948072379,0.040766325727773466,-0.23815377655389477
31,2014-08-31,abu_sayyaf,0.0937489082969432,0.876440320232898,0.029817321688500733,-0.1339826055312956
32,2014-09-30,abu_sayyaf,0.07772708590217843,0.899635429510894,0.02263830661734488,-0.11867484586929722
33,2014-10-31,abu_sayyaf,0.04314723926380351,0.9271494303242785,0.02969522348816825,-0.02998621822962297
34,2014-11-30,abu_sayyaf,0.14117675753228126,0.8426243902439043,0.016196556671449095,-0.25873764705882085
35,2014-12-31,abu_sayyaf,0.05264742134284806,0.8869270191372012,0.06037690561141679,-0.010384171261757448
0,2012-01-31,al-qaeda,0.09727995159338484,0.8608799919322213,0.04184751916095195,-0.12642405203711068
1,2012-02-29,al-qaeda,0.10571396515311379,0.8339290522703234,0.06035711457233386,-0.1063594640971475
2,2012-03-31,al-qaeda,0.12746454804376947,0.8352660270823932,0.037252186079048656,-0.20059714685454186
3,2012-04-30,al-qaeda,0.13810300453197188,0.8272377328931799,0.03465948637609757,-0.2286143680411757
4,2012-05-31,al-qaeda,0.1431431919979561,0.8275742532897176,0.02928144073893553,-0.25194998723574263
5,2012-06-30,al-qaeda,0.14597227051091688,0.8111710409158327,0.042863090947636615,-0.2205270850116669
6,2012-07-31,al-qaeda,0.14455467210329134,0.8079869520897138,0.04745932721712531,-0.2043681957186589
7,2012-08-31,al-qaeda,0.16732100353811535,0.7826337514742114,0.05004020585397239,-0.24080231585719486
8,2012-09-30,al-qaeda,0.13393415491566893,0.8270849626732971,0.03898242287790842,-0.22104112256587674
9,2012-10-31,al-qaeda,0.13320079879365657,0.8274195704446263,0.03938790398174184,-0.21600855442801636
10,2012-11-30,al-qaeda,0.09611471769027065,0.84626069872726,0.05763064833005902,-0.08890300674809908
11,2012-12-31,al-qaeda,0.15164090118805904,0.8020239061141632,0.04634229208924947,-0.22278933642422405
12,2013-01-31,al-qaeda,0.13295571000963777,0.826858099538336,0.040187357313175805,-0.21135791182588004
13,2013-02-28,al-qaeda,0.11764208354821706,0.8430495745229787,0.039306665807117114,-0.16352514827230313
14,2013-03-31,al-qaeda,0.14896946223745117,0.8093780227419447,0.041643676448681645,-0.261323317940328
