,date,article,neg,neu,pos,compound
0,2012-01-31,air_marshal,0.19089704565801321,0.7648460161145959,0.044254252461951644,-0.3376269471799448
1,2012-02-29,air_marshal,0.07799264029438831,0.8748932842686303,0.04711223551057958,-0.0690434222631094
2,2012-03-31,air_marshal,0.036184991273996533,0.8896300174520072,0.07417975567190228,0.08430872600349043
3,2012-04-30,air_marshal,0.04148327759197324,0.8478979933110364,0.11060702341137124,0.13545301003344476
4,2012-05-31,air_marshal,0.019064908722109534,0.9345172413793106,0.04640567951318461,0.052239553752535486
5,2012-06-30,air_marshal,0.02530976863753213,0.9033264781491002,0.07136375321336758,0.08794267352185084
6,2012-07-31,air_marshal,0.0361648351648352,0.9024295704295695,0.06141158841158843,0.044576923076923056
7,2012-08-31,air_marshal,0.04640441882804998,0.8765283381364065,0.07706532180595575,0.04785513928914502
8,2012-09-30,air_marshal,0.04315229563269886,0.8345341545352749,0.12232138857782748,0.0790901455767074
9,2012-10-31,air_marshal,0.029243004418262164,0.8973372606774672,0.07341531664212078,0.08114300441826212
10,2012-11-30,air_marshal,0.0382870514820593,0.8553057722308884,0.10640405616224646,0.09546287051482043
11,2012-12-31,air_marshal,0.03942805100182153,0.8705519125683059,0.09001912568306004,0.09658041894353372
12,2013-01-31,air_marshal,0.054266203703703636,0.8727569444444443,0.07298070987654323,0.006086111111111114
13,2013-02-28,air_marshal,0.05968801089918252,0.8286771117166202,0.11164441416893732,0.07626117166212526
14,2013-03-31,air_marshal,0.04420312500000001,0.8619406250000005,0.0938453125,0.07549749999999998
15,2013-04-30,air_marshal,0.04809689213893965,0.8452029250457033,0.1066965265082267,0.0860053016453381
16,2013-05-31,air_marshal,0.06657801899592942,0.839435549525103,0.09399864314789694,0.03230027137042064
17,2013-06-30,air_marshal,0.06866066066066069,0.8226951951951952,0.10863063063063062,0.06946771771771752
18,2013-07-31,air_marshal,0.03282475355969331,0.8908751369112817,0.07630230010952896,0.07912464403066807
19,2013-08-31,air_marshal,0.05901675041876044,0.7900552763819098,0.15093969849246236,0.12219916247906193
20,2013-09-30,air_marshal,0.05458473282442748,0.8393679389312976,0.10605038167938921,0.06785877862595414
21,2013-10-31,air_marshal,0.14558280739934762,0.8270981501632362,0.027315778019586477,-0.2526176278563713
22,2013-11-30,air_marshal,0.04903556485355649,0.8643410041841008,0.08662133891213389,0.04147928870292889
23,2013-12-31,air_marshal,0.04963663220088628,0.8509276218611525,0.0994283604135894,0.08011225997045783
24,2014-01-31,air_marshal,0.04513520749665332,0.8618621151271773,0.09299866131191434,0.07377188755020071
25,2014-02-28,air_marshal,0.03284710017574693,0.8860140597539564,0.08113532513181021,0.08823277680140612
26,2014-03-31,air_marshal,0.044044776119403,0.8890706991358988,0.06689159465828753,0.04492670856245086
27,2014-04-30,air_marshal,0.12852558635394432,0.7721647121535191,0.09922921108742053,-0.04797745202558713
28,2014-05-31,air_marshal,0.08948612440191375,0.7951502392344528,0.11534641148325378,0.04336277511961683
29,2014-06-30,air_marshal,0.08294014732965058,0.8135147329650058,0.1036731123388584,0.016625598526703173
30,2014-07-31,air_marshal,0.045989096573208696,0.8828925233644854,0.07112772585669783,0.04107912772585676
31,2014-08-31,air_marshal,0.03755113636363639,0.9086840909090924,0.053763636363636354,0.015356590909090903
32,2014-09-30,air_marshal,0.21436319511856913,0.7703612536402754,0.015287200110941543,-0.45171202329773563
33,2014-10-31,air_marshal,0.13123140495867752,0.7550137741046801,0.11375895316804387,-0.08205743801652893
34,2014-11-30,air_marshal,0.09763837638376383,0.7854492619926211,0.11689206642066428,0.05509326568265693
35,2014-12-31,air_marshal,0.034953358208955246,0.9212994402985072,0.043752798507462685,-0.004061100746268629
0,2012-01-31,alcohol_and_tobacco_tax_and_trade_bureau,0.0,0.868,0.132,0.4404
1,2012-02-29,alcohol_and_tobacco_tax_and_trade_bureau,,,,
2,2012-03-31,alcohol_and_tobacco_tax_and_trade_bureau,0.0,0.9776666666666666,0.022333333333333334,0.07945
3,2012-04-30,alcohol_and_tobacco_tax_and_trade_bureau,0.0,0.9422,0.0578,0.1165
4,2012-05-31,alcohol_and_tobacco_tax_and_trade_bureau,0.0,0.975,0.024999999999999998,0.06676666666666667
5,2012-06-30,alcohol_and_tobacco_tax_and_trade_bureau,0.0,0.9158333333333335,0.08416666666666667,0.21196111111111113
6,2012-07-31,alcohol_and_tobacco_tax_and_trade_bureau,0.0,0.9523333333333334,0.04766666666666667,0.11973333333333334
7,2012-08-31,alcohol_and_tobacco_tax_and_trade_bureau,0.0,0.9176,0.0824,0.22139999999999999
8,2012-09-30,alcohol_and_tobacco_tax_and_trade_bureau,0.0,0.9496666666666668,0.050333333333333334,0.17516666666666666
9,2012-10-31,alcohol_and_tobacco_tax_and_trade_bureau,0.02475,0.8255,0.14975,0.350275
10,2012-11-30,alcohol_and_tobacco_tax_and_trade_bureau,0.0,0.8500000000000001,0.15,0.36815
11,2012-12-31,alcohol_and_tobacco_tax_and_trade_bureau,0.048666666666666664,0.8602777777777778,0.09105555555555556,0.15090555555555554
12,2013-01-31,alcohol_and_tobacco_tax_and_trade_bureau,0.0,1.0,0.0,0.0
13,2013-02-28,alcohol_and_tobacco_tax_and_trade_bureau,0.0,0.9365714285714286,0.06342857142857143,0.17275714285714286
14,2013-03-31,alcohol_and_tobacco_tax_and_trade_bureau,0.0,0.943888888888889,0.05611111111111111,0.14686666666666667
15,2013-04-30,alcohol_and_tobacco_tax_and_trade_bureau,0.02825,0.9088749999999999,0.062875,0.087
